Weekly Control-M_Jobs_Usage_Report
CMDB_Appl,NodeID,CNTRLM_Appl,Mon[04-Apr-16],Tue[05-Apr-16],Wed[06-Apr-16],Thu[07-Apr-16],Fri[08-Apr-16],Sat[09-Apr-16],Sun[10-Apr-16] 
TOTAL RC - PRODUCTION P3A,sapp3a,SAP_P3A_INT,30,32,31,30,30,28,29
TOTAL RC - PRODUCTION P3A,sapp3a,SAP_P3A_OPE,30,33,30,30,34,23,23
TOTAL RC - PRODUCTION P3A,sapp3a,SAP_P3A_PUR,61,60,101,64,51,25,37
TOTAL RC - PRODUCTION P3A,sapp3a,SAP_P3A_TER,281,273,274,274,267,165,177
TOTAL RC - PRODUCTION P3A,sapp3a,SAP_P3A_UNKNOW,28,28,28,28,28,7,7
TOTAL RC - PRODUCTION P3A,sapp3a,UNIQPRT_PRD,3,3,3,3,3,3,3
TOTAL RC - PRODUCTION P3A,sapp8b,CTM_EXPLOIT,4,4,4,4,4,4,4
TOTAL RC - PRODUCTION P3A,sapp8b,CTM_PLAN,1,1,1,1,1,1,1
TOTAL RC - PRODUCTION P3A,sapp8b,SAP_P8B,9,9,9,9,9,13,9
TOTAL RC - PRODUCTION P3A,sapp8b,SAP_P8B_ABSM,24,24,24,24,16,5,13
TOTAL RC - PRODUCTION P3A,sapp8b,SAP_P8B_ALL,3,3,3,3,3,3,3
TOTAL RC - PRODUCTION P3A,sapp8b,SAP_P8B_CFLOW,135,113,125,113,112,18,102
TOTAL RC - PRODUCTION P3A,sapp8b,SAP_P8B_DW,21,21,21,21,2,0,20
TOTAL RC - PRODUCTION P3A,sapp8b,SAP_P8B_FICO,777,995,979,919,910,419,290
TOTAL RC - PRODUCTION P3A,sapp8b,SAP_P8B_INT,40,70,50,51,50,28,51
TOTAL RC - PRODUCTION P3A,sapp8b,SAP_P8B_OPE,210,202,199,199,199,70,146
TOTAL RC - PRODUCTION P3A,sapp8b,SAP_P8B_SD,6,6,6,6,6,0,0
TOTAL RC - PRODUCTION P3A,sapp8b,SAP_P8B_SUPPLY,116,149,142,145,142,53,55
MISCELLANEOUS,NONODES,CTM_EXPLOIT,50,50,50,50,50,50,50
MISCELLANEOUS,NONODES,CTM_PLAN,40,41,40,41,40,36,36
MISCELLANEOUS,NONODES,cm70p705,0,0,0,0,0,0,1
SMO - SERVICE PLANIFICATION ERG RC DW TE CTLM EM 7.0,ctmprod705,CTM_EXPLOIT,3,3,3,3,1,1,3
SMO - SERVICE PLANIFICATION ERG RC DW TE CTLM EM 7.0,ctmprod705,CTM_PLAN,50,50,50,50,50,47,47
SMO - SERVICE PLANIFICATION ERG RC DW TE CTLM EM 7.0,ctmprod705,ORDER,154,213,209,203,42,0,166
SMO - SERVICE PLANIFICATION ERG RC DW TE CTLM EM 7.0,ctmprod705,SAP_P3E_DW,14,14,18,14,13,1,14
SMO - SERVICE PLANIFICATION ERG RC DW TE CTLM EM 7.0,ctmprod705,SAP_P3E_INT,1,1,1,1,1,1,1
TE-BW-PRODUCTION P3E,sapp3e,CTM_EXPLOIT,4,4,4,4,2,2,4
TE-BW-PRODUCTION P3E,sapp3e,CTM_PLAN,3,3,3,3,3,3,3
TE-BW-PRODUCTION P3E,sapp3e,SAP_P3E_DW,937,983,1002,1061,239,42,888
SMO - SERVICE PLANIFICATION ERG RC DW TE CTLM EM 7.0,CEMPRD700,PPO,0,0,0,0,0,0,7
MISCELLANEOUS,COMPRDTE,SAP_P3A,0,0,0,0,0,1,0
MISCELLANEOUS,COMPRDTE,SAP_P3B,0,0,0,0,0,1,0
MISCELLANEOUS,COMPRDTE,SAP_P4B,0,0,0,0,0,1,0
MISCELLANEOUS,COMPRDTE,SAP_P8B,0,0,0,0,0,1,0
SMO - SERVICE PLANIFICATION ERG RC DW TE CTLM EM 7.0,CTMTOOL701,SAP_DA3,0,0,0,0,1,1,0
SMO - SERVICE PLANIFICATION ERG RC DW TE CTLM EM 7.0,CTMTOOL701,SAP_DR1,0,0,0,0,1,1,1
SMO - SERVICE PLANIFICATION ERG RC DW TE CTLM EM 7.0,CTMTOOL701,SAP_JR1,0,0,0,0,0,4,0
SMO - SERVICE PLANIFICATION ERG RC DW TE CTLM EM 7.0,CTMTOOL701,SAP_PA3,0,0,0,0,0,1,1
SMO - SERVICE PLANIFICATION ERG RC DW TE CTLM EM 7.0,CTMTOOL701,SAP_PJ2,0,0,0,0,0,4,0
SMO - SERVICE PLANIFICATION ERG RC DW TE CTLM EM 7.0,CTMTOOL701,SAP_PR1,0,0,0,0,0,1,0
SMO - SERVICE PLANIFICATION ERG RC DW TE CTLM EM 7.0,CTMTOOL701,SAP_QA3,0,0,0,0,0,1,1
SMO - SERVICE PLANIFICATION ERG RC DW TE CTLM EM 7.0,CTMTOOL701,SAP_QR1,0,0,0,0,1,1,1
TL FIORI NW NON PROD,FRMSDEFVISD01,SAP_DA3,2,2,2,2,8,0,0
TL FIORI NW NON PROD,FRMSDEFVISD01,SAP_QA3,2,2,2,1,1,9,1
TE IXOS - PRODUCTION,FRMSTEUIXOSP01,SAP_IXOS_PRD,0,0,0,0,0,6,6
TE IXOS - INTEGRATION,FRMSTEUIXOSQ01,SAP_IXOS_INT,0,0,0,0,0,0,6
TE IXOS - INTEGRATION,FRMSTEUIXOSQ01,SAP_IXOS_QUAL,5,4,5,4,5,7,9
INF - HELIOS SERVER,FRRMDEF-AP70.main.glb.corp.local,CTM_CTMINT701,1,1,1,1,1,1,1
INF - HELIOS SERVER,FRRMDEF-AP70.main.glb.corp.local,CTM_CTMINT702,1,1,1,1,1,1,1
INF - HELIOS SERVER,FRRMDEF-AP70.main.glb.corp.local,CTM_CTMINT703,1,1,1,1,1,1,1
INF - HELIOS SERVER,FRRMDEF-AP70.main.glb.corp.local,CTM_CTMINT704,1,1,1,1,1,1,1
INF - HELIOS SERVER,FRRMDEF-AP70.main.glb.corp.local,CTM_CTMINT707,1,1,1,1,1,1,1
INF - HELIOS SERVER,FRRMDEF-AP70.main.glb.corp.local,CTM_CTMPROD701,1,1,1,1,1,1,1
INF - HELIOS SERVER,FRRMDEF-AP70.main.glb.corp.local,CTM_CTMPROD702,3,3,3,3,3,4,3
INF - HELIOS SERVER,FRRMDEF-AP70.main.glb.corp.local,CTM_CTMPROD703,5,5,5,5,5,5,5
INF - HELIOS SERVER,FRRMDEF-AP70.main.glb.corp.local,CTM_CTMPROD704,3,3,3,3,3,5,3
INF - HELIOS SERVER,FRRMDEF-AP70.main.glb.corp.local,CTM_CTMPROD705,1,1,1,1,1,1,1
INF - HELIOS SERVER,FRRMDEF-AP70.main.glb.corp.local,CTM_CTMPROD706,1,1,1,1,1,1,1
INF - HELIOS SERVER,FRRMDEF-AP70.main.glb.corp.local,CTM_CTMTOOL701,1,1,1,1,1,1,1
INF - HELIOS SERVER,FRRMDEF-AP70.main.glb.corp.local,SAP_P3E,7,7,7,7,7,0,0
INF - HELIOS SERVER,FRRMDEF-AP70.main.glb.corp.local,SAP_P4E,5,5,5,5,5,0,0
INF - HELIOS SERVER,FRRMDEF-AP70.main.glb.corp.local,SOX,1,1,1,1,1,1,1
TL FIORI NW NON PROD,FRRMDEFRPVCP4,SAP_IA3,1,1,1,1,2,1,2
TL FIORI NW NON PROD,FRRMDEFRPVCP4,SAP_PA3,2,1,2,1,1,1,1
MISCELLANEOUS,FRRMDEFRQVCP014,SAP_PJ2,2,2,1,2,2,1,2
TL FIORI NW PROD,FRRMDEFRRVCP7,SAP_PA3,6,5,7,7,7,12,10
MISCELLANEOUS,NONODES,CTM_BT,1,1,1,1,0,0,0
MISCELLANEOUS,NONODES,SAP_P3B,0,0,0,0,0,1,0
MISCELLANEOUS,NONODES,SAP_P3G,0,0,0,0,0,1,0
MISCELLANEOUS,NONODES,SAP_P4B,0,0,0,0,0,1,0
MISCELLANEOUS,NONODES,SAP_P4G,0,0,0,0,0,1,0
MISCELLANEOUS,NONODES,cm70t701,0,0,0,0,0,0,1
TE MS - PRODUCTION SYSTEM - P3B/P3G,SAPP3B,SAP_P3B,0,0,0,0,0,1,1
TE TRANSVERSE - VIRSA,Sappa2,SAP_PA2,1,1,1,1,1,1,1
TE TRANSVERSE - PRODUCTION,arctep01,ARCTEP01,79,79,79,78,78,78,78
INF - BACK-UP SERVICE,catrman,RMAN,20,20,20,20,20,20,4
TE IMPRESSION PROD,cceprdte,COL_PRD,22,22,26,22,22,22,22
TE IMPRESSION PROD,cceprdte,UNIQPRT_PRD,31,31,31,31,31,31,31
SMO - SERVICE PLANIFICATION ERG RC DW TE CTLM EM 7.0,cemprd700,CTM_BACKUP_EM_SRV,2,2,2,2,2,2,2
SMO - SERVICE PLANIFICATION ERG RC DW TE CTLM EM 7.0,cemprd700,CTM_BT,8,8,8,8,8,8,8
SMO - SERVICE PLANIFICATION ERG RC DW TE CTLM EM 7.0,cemprd700,EM,8,8,8,8,8,9,8
SMO - SERVICE PLANIFICATION - NON PROD,ctmint701,CTM_CTMINT701,11,11,11,11,11,11,11
SMO - SERVICE PLANIFICATION - NON PROD,ctmint701,CTM_CTMINT702,2,2,2,2,2,2,2
SMO - SERVICE PLANIFICATION - NON PROD,ctmint702,CTM_CTMINT702,9,9,9,9,9,9,9
SMO - SERVICE PLANIFICATION - NON PROD,ctmint702,SAP_Q7G,0,0,0,0,0,2,0
SMO - SERVICE PLANIFICATION - NON PROD,ctmint703,CTM_CTMINT703,11,11,11,11,11,11,11
SMO - SERVICE PLANIFICATION - NON PROD,ctmint703,SAP_IE1,0,0,0,0,2,0,0
SMO - SERVICE PLANIFICATION - NON PROD,ctmint703,SAP_Q6B,0,0,0,0,0,2,0
SMO - SERVICE PLANIFICATION - NON PROD,ctmint703,SAP_Q6G,0,0,0,0,0,2,0
SMO - SERVICE PLANIFICATION - NON PROD,ctmint704,CTM_CTMINT704,11,11,11,11,11,11,11
SMO - SERVICE PLANIFICATION - NON PROD,ctmint704,SAP_Q3A,0,0,0,0,0,2,0
SMO - SERVICE PLANIFICATION - NON PROD,ctmint704,SAP_Q8C,0,0,0,0,0,2,0
SMO - SERVICE PLANIFICATION - NON PROD,ctmint707,CTM_CTMINT707,11,11,11,11,11,11,11
SMO - SERVICE PLANIFICATION TE,ctmprod701,CTM_CTMPROD701,10,10,10,10,10,10,10
SMO - SERVICE PLANIFICATION TE,ctmprod701,REPORTING,1,1,1,1,1,0,0
SMO - SERVICE PLANIFICATION ERG RC DW TE CTLM EM 7.0,ctmprod702,CTM_CTMPROD702,10,10,10,10,10,10,10
SMO - SERVICE PLANIFICATION ERG RC DW TE CTLM EM 7.0,ctmprod702,REPORTING,1,1,1,1,1,0,0
SMO - SERVICE PLANIFICATION ERG RC DW TE CTLM EM 7.0,ctmprod702,SAP_P4B,0,0,0,0,0,4,0
SMO - SERVICE PLANIFICATION ERG RC DW TE CTLM EM 7.0,ctmprod702,SAP_P4G,0,0,0,0,0,4,0
SMO - SERVICE PLANIFICATION TE,ctmprod703,CTM_CTMPROD703,10,10,10,10,10,10,10
SMO - SERVICE PLANIFICATION TE,ctmprod703,REPORTING,1,1,1,1,1,0,0
SMO - SERVICE PLANIFICATION TE,ctmprod703,SAP_P3B,0,0,0,0,0,4,0
SMO - SERVICE PLANIFICATION TE,ctmprod703,SAP_P3G,0,0,0,0,0,4,0
SMO - SERVICE PLANIFICATION ERG RC DW TE CTLM EM 7.0,ctmprod704,CTM_CTMPROD704,10,10,10,10,10,10,10
SMO - SERVICE PLANIFICATION ERG RC DW TE CTLM EM 7.0,ctmprod704,REPORTING,1,1,1,1,1,0,0
SMO - SERVICE PLANIFICATION ERG RC DW TE CTLM EM 7.0,ctmprod704,SAP_P3A,0,0,0,0,0,4,0
SMO - SERVICE PLANIFICATION ERG RC DW TE CTLM EM 7.0,ctmprod704,SAP_P8B,0,0,0,0,0,4,0
SMO - SERVICE PLANIFICATION ERG RC DW TE CTLM EM 7.0,ctmprod705,CTM_CTMPROD705,10,10,10,10,10,10,10
